Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
56,male,1,own,little,moderate,6745,22,car,good
69,female,2,free,moderate,moderate,10437,70,car,good
46,male,3,own,quite rich,little,9763,8,car,good
32,female,1,own,moderate,little,18964,70,radio/TV,bad
60,male,2,own,moderate,little,17650,14,domestic appliances,good
25,male,0,rent,little,moderate,7597,71,car,bad
38,female,3,rent,moderate,rich,14499,4,repairs,good
56,male,1,own,little,little,15129,66,car,bad
36,male,3,rent,moderate,moderate,14307,32,business,good
40,male,2,free,,little,12307,15,radio/TV,bad
28,male,2,own,little,little,5188,44,education,bad
28,male,1,own,rich,,19472,5,radio/TV,good
41,male,1,own,little,little,987,40,radio/TV,good
70,female,0,rent,moderate,little,6450,48,business,bad
53,male,1,own,,little,8621,51,business,bad
57,male,0,rent,little,little,16865,27,radio/TV,bad
41,female,2,rent,little,little,18551,25,car,bad
20,female,1,own,moderate,little,8784,14,car,good
39,female,0,free,little,moderate,2873,61,business,bad
70,female,3,own,quite rich,little,8896,49,radio/TV,good
19,female,2,own,,moderate,13793,32,radio/TV,good
41,female,3,rent,moderate,little,13067,38,education,good
61,female,3,rent,little,little,18910,18,domestic appliances,bad
47,male,0,own,moderate,moderate,4747,63,radio/TV,good
55,male,1,rent,quite rich,,8183,45,business,good
19,female,2,free,little,little,18769,46,business,bad
38,male,2,own,moderate,rich,6977,52,furniture,good
50,male,0,free,moderate,moderate,12406,67,car,bad
29,male,2,own,moderate,moderate,18199,35,business,good
39,female,1,own,little,moderate,16942,67,furniture,good
61,female,1,own,quite rich,little,8877,5,repairs,good
42,male,1,rent,little,little,8618,27,car,good
66,female,1,rent,little,moderate,16772,69,car,bad
44,male,1,own,rich,little,16827,41,repairs,bad
59,male,0,own,quite rich,,19891,34,radio/TV,good
45,male,2,rent,little,little,15827,29,furniture,bad
33,male,1,own,little,little,19869,32,business,bad
32,female,0,rent,little,moderate,13722,70,education,bad
64,female,2,rent,little,little,1192,28,radio/TV,good
68,female,3,own,little,moderate,4870,51,car,good
61,male,2,free,little,moderate,16445,68,business,bad
72,female,2,own,moderate,,11404,56,domestic appliances,bad
69,male,2,free,quite rich,rich,6603,70,car,good
74,female,1,rent,moderate,moderate,9395,21,domestic appliances,good
20,male,0,rent,moderate,moderate,9744,12,domestic appliances,good
54,male,1,own,little,,13812,41,radio/TV,bad
68,male,1,rent,,little,3130,24,education,good
24,female,1,own,rich,little,795,68,furniture,bad
38,female,2,own,rich,little,14382,24,car,good
26,female,1,own,rich,little,13554,30,education,good
56,female,0,own,,moderate,2177,47,domestic appliances,bad
35,male,1,own,moderate,moderate,16638,31,education,good
21,female,2,rent,little,moderate,11923,48,radio/TV,bad
42,female,0,rent,moderate,little,15622,20,car,good
31,male,2,own,quite rich,moderate,2913,43,car,good
67,male,1,rent,quite rich,little,15283,6,furniture,good
26,male,1,own,moderate,moderate,9715,69,car,good
43,female,1,rent,little,moderate,3576,49,radio/TV,good
70,male,2,rent,little,little,3909,33,furniture,bad
19,male,1,own,,little,17765,12,business,bad
37,male,2,rent,moderate,little,5013,14,furniture,good
45,female,1,own,moderate,rich,11078,69,radio/TV,good
64,male,1,own,little,,15070,34,radio/TV,bad
24,female,2,rent,little,moderate,11471,36,car,bad
61,female,2,own,rich,little,11461,42,car,bad
25,male,2,own,moderate,little,13819,49,car,good
64,male,2,own,quite rich,moderate,5342,40,domestic appliances,good
52,female,2,rent,moderate,rich,6272,63,car,good
31,male,2,own,moderate,little,12819,34,education,good
34,male,2,own,little,little,19793,14,vacation/others,good
53,female,2,rent,quite rich,moderate,13765,5,business,good
67,female,2,rent,moderate,little,6409,30,car,good
57,male,2,own,moderate,little,13473,5,repairs,good
21,female,2,own,moderate,little,8695,24,car,good
19,male,0,own,,moderate,11272,61,radio/TV,bad
23,male,2,own,little,rich,3294,8,domestic appliances,good
71,male,2,own,rich,,9862,55,radio/TV,good
59,female,0,rent,little,moderate,5886,48,furniture,bad
21,male,2,rent,moderate,moderate,11843,23,car,good
71,male,0,rent,little,little,16429,64,furniture,bad
46,male,1,own,little,moderate,3142,41,radio/TV,good
35,female,2,rent,moderate,little,6062,23,furniture,good
43,female,0,own,little,moderate,904,28,vacation/others,good
61,female,2,free,moderate,little,17393,5,repairs,bad
51,female,2,rent,,little,2048,35,domestic appliances,good
27,female,1,own,little,little,5409,29,furniture,good
53,male,0,rent,quite rich,little,11868,44,education,bad
31,female,1,own,moderate,little,8696,70,repairs,good
48,female,2,rent,moderate,little,4073,4,domestic appliances,good
65,female,3,own,little,,16349,54,furniture,bad
32,male,2,own,little,little,18510,8,car,bad
25,female,1,rent,little,moderate,8037,16,car,good
31,female,2,own,little,rich,11446,22,radio/TV,good
40,male,1,rent,little,,6630,15,radio/TV,good
74,female,2,own,moderate,moderate,17642,51,business,bad
57,male,0,rent,rich,rich,9952,28,car,good
38,male,2,rent,rich,little,19142,60,car,bad
33,male,1,own,moderate,little,2932,38,furniture,good
62,male,3,own,little,little,1239,8,furniture,good
35,male,1,own,little,moderate,12726,25,car,good
64,female,2,own,little,moderate,8696,60,education,good
70,male,3,own,little,little,4961,50,radio/TV,bad
41,male,0,rent,moderate,little,6729,57,education,good
43,female,3,free,moderate,moderate,13411,6,furniture,good
42,male,2,rent,little,little,14885,56,furniture,bad
62,female,0,rent,little,moderate,8325,34,radio/TV,bad
58,female,1,rent,rich,moderate,1257,36,domestic appliances,good
46,female,2,rent,quite rich,moderate,7938,53,car,good
32,male,0,own,little,rich,11013,19,business,bad
62,male,1,free,,rich,4158,42,furniture,good
18,male,1,rent,,little,19437,49,domestic appliances,bad
42,female,2,own,little,moderate,12207,50,business,good
24,male,0,own,little,moderate,4629,47,furniture,bad
26,male,2,own,moderate,little,16732,12,education,good
41,male,3,own,,little,1127,53,car,bad
18,female,3,rent,rich,little,15835,63,domestic appliances,bad
61,female,2,own,little,little,18502,18,furniture,bad
25,male,0,own,little,moderate,19299,39,radio/TV,bad
41,male,2,free,moderate,rich,18022,66,education,good
28,male,0,own,moderate,little,19049,44,business,bad
68,male,0,own,little,little,2887,27,car,bad
34,female,1,own,rich,,7492,52,education,good
25,female,1,rent,moderate,little,9507,21,furniture,good
52,female,2,free,rich,little,8863,10,furniture,good
52,female,2,own,rich,moderate,3133,7,education,good
50,male,1,rent,quite rich,moderate,1454,63,furniture,good
22,male,1,own,moderate,little,17178,58,furniture,bad
59,male,3,free,moderate,little,12081,19,business,good
56,female,1,rent,little,little,15714,32,car,bad
58,male,1,rent,moderate,moderate,17857,26,education,good
45,female,0,own,little,moderate,19806,17,car,bad
24,female,2,free,moderate,little,14244,52,car,bad
26,male,2,rent,little,moderate,6770,36,car,good
25,male,1,own,little,rich,904,28,radio/TV,good
29,male,0,rent,little,little,19080,24,education,bad
51,female,2,own,little,little,8662,20,car,good
50,male,2,rent,quite rich,moderate,3916,26,car,good
65,female,1,own,quite rich,little,4527,60,repairs,good
72,male,3,rent,moderate,little,19203,61,car,bad
40,female,0,own,little,moderate,5765,17,domestic appliances,good
41,female,1,own,little,rich,9455,23,car,good
54,male,3,own,little,rich,15448,33,education,good
52,female,1,own,little,moderate,4235,22,furniture,good
61,female,2,own,rich,moderate,13385,56,domestic appliances,good
57,male,1,own,little,little,8417,59,education,bad
39,female,1,own,little,moderate,7698,26,furniture,good
44,male,3,own,little,little,19653,65,car,bad
52,female,1,own,little,little,3931,36,education,good
18,male,2,rent,moderate,moderate,17206,21,radio/TV,good
52,male,1,own,moderate,moderate,9774,36,car,good
54,female,1,free,little,little,5003,35,car,good
64,female,0,rent,little,,7332,64,business,bad
31,female,2,rent,little,little,4252,57,car,bad
